Date,"Eleanor Schonell Bridge, St Lucia Cyclist","Eleanor Schonell Bridge, St Lucia Pedestrian","Jack Pesch Bridge, Indooroopilly Pedestrian","Jack Pesch Bridge, Indooroopilly Cyclist"
"Sat, 01 01 22",270.4,806,310,142
"Sun, 02 01 22",880.1,782,724,829
"Mon, 03 01 22",888.55,692,600,801
"Tue, 04 01 22",1041.3,681,399,578
"Wed, 05 01 22",1011.4,766,462,588
"Thu, 06 01 22",698.75,693,310,371
"Fri, 07 01 22",642.85,600,252,349
"Sat, 08 01 22",369.2,562,268,211
"Sun, 09 01 22",1043.9,837,640,879
"Mon, 10 01 22",1019.2,823,480,515
"Tue, 11 01 22",1060.15,945,496,604
"Wed, 12 01 22",1150.5,869,558,707
"Thu, 13 01 22",1119.3,852,582,668
"Fri, 14 01 22",1076.4,868,641,772
"Sat, 15 01 22",1053,657,552,785
"Sun, 16 01 22",943.8,725,483,730
"Mon, 17 01 22",1086.8,892,348,526
"Tue, 18 01 22",1318.2,899,486,681
"Wed, 19 01 22",1151.8,815,388,688
"Thu, 20 01 22",449.15,790,200,121
"Fri, 21 01 22",1075.1,913,697,728
"Sat, 22 01 22",881.4,763,691,740
"Sun, 23 01 22",1250.6,944,854,1058
"Mon, 24 01 22",1272.7,1117,610,540
"Tue, 25 01 22",1398.8,1075,572,712
"Wed, 26 01 22",738.4,714,485,716
"Thu, 27 01 22",1159.6,1001,573,547
"Fri, 28 01 22",793.65,892,407,410
"Sat, 29 01 22",956.8,872,482,774
"Sun, 30 01 22",1162.2,858,689,1020
"Mon, 31 01 22",1327.95,935,538,496
"Tue, 01 02 22",1361.1,736,429,712
"Wed, 02 02 22",1146.6,856,372,610
"Thu, 03 02 22",796.25,735,202,284
"Fri, 04 02 22",1184.3,1034,747,733
"Sat, 05 02 22",1083.55,922,779,901
"Sun, 06 02 22",1062.75,864,792,967
"Mon, 07 02 22",1301.95,1140,576,538
"Tue, 08 02 22",1641.9,1259,871,924
"Wed, 09 02 22",1548.95,1137,801,873
"Thu, 10 02 22",1519.7,1484,771,804
"Fri, 11 02 22",1464.45,829,856,965
"Sat, 12 02 22",901.55,819,583,837
"Sun, 13 02 22",1196.65,984,664,954
"Mon, 14 02 22",1210.3,1356,547,414
"Tue, 15 02 22",1546.35,1500,716,713
"Wed, 16 02 22",1675.05,1560,711,850
"Thu, 17 02 22",1631.5,1554,765,729
"Fri, 18 02 22",1444.95,1129,656,921
"Sat, 19 02 22",939.25,934,530,817
"Sun, 20 02 22",995.8,1004,651,783
"Mon, 21 02 22",1774.5,1903,589,581
"Tue, 22 02 22",1667.9,1824,640,766
"Wed, 23 02 22",676.65,1560,278,178
"Thu, 24 02 22",817.7,1671,223,181
"Fri, 25 02 22",276.9,177,44,73
"Sat, 26 02 22",70.2,243,36,19
"Sun, 27 02 22",40.3,139,42,26
"Mon, 28 02 22",487.5,1608,582,193
"Tue, 01 03 22",443.3,1029,478,204
"Wed, 02 03 22",536.25,813,353,304
"Thu, 03 03 22",280.8,593,223,107
"Fri, 04 03 22",479.7,665,329,268
"Sat, 05 03 22",574.6,696,394,400
"Sun, 06 03 22",641.55,649,367,401
"Mon, 07 03 22",1560.65,2947,447,378
"Tue, 08 03 22",1909.05,1804,380,494
"Wed, 09 03 22",1463.15,1801,336,366
"Thu, 10 03 22",1849.25,2246,580,490
"Fri, 11 03 22",1529.45,1748,696,522
"Sat, 12 03 22",900.9,1006,524,531
"Sun, 13 03 22",953.55,1088,595,635
"Mon, 14 03 22",1805.7,1794,556,445
"Tue, 15 03 22",2181.4,2095,670,583
"Wed, 16 03 22",2011.1,2103,671,559
"Thu, 17 03 22",1895.4,2101,657,496
"Fri, 18 03 22",1682.2,1631,718,587
"Sat, 19 03 22",1046.5,1040,601,696
"Sun, 20 03 22",1059.5,1048,600,801
"Mon, 21 03 22",1788.8,1833,508,458
"Tue, 22 03 22",2168.4,1986,713,589
"Wed, 23 03 22",2060.5,1878,664,599
"Thu, 24 03 22",1945.45,2006,633,614
"Fri, 25 03 22",1576.9,1329,591,581
"Sat, 26 03 22",869.7,953,615,554
"Sun, 27 03 22",892.45,1016,570,640
"Mon, 28 03 22",449.15,984,110,100
"Tue, 29 03 22",685.1,1550,253,122
"Wed, 30 03 22",1198.6,1906,367,348
"Thu, 31 03 22",1794.65,2225,606,599
"Fri, 01 04 22",1587.3,1505,697,630
"Sat, 02 04 22",1006.2,1117,586,676
"Sun, 03 04 22",991.25,1025,590,762
"Mon, 04 04 22",1457.95,1627,429,424
"Tue, 05 04 22",1745.25,1797,628,635
"Wed, 06 04 22",1687.4,1749,608,641
"Thu, 07 04 22",1438.45,1771,466,394
"Fri, 08 04 22",1341.6,1545,537,485
"Sat, 09 04 22",570.7,889,427,371
"Sun, 10 04 22",954.2,1084,629,590
"Mon, 11 04 22",1501.5,1697,400,449
"Tue, 12 04 22",1576.25,1789,622,591
"Wed, 13 04 22",1376.05,1601,524,517
"Thu, 14 04 22",1316.25,1566,524,423
"Fri, 15 04 22",968.5,1027,699,738
"Sat, 16 04 22",724.75,707,538,594
"Sun, 17 04 22",729.95,780,551,499
"Mon, 18 04 22",934.05,968,773,694
"Tue, 19 04 22",1461.85,1296,662,512
"Wed, 20 04 22",1455.35,1334,652,596
"Thu, 21 04 22",1446.9,1517,822,552
"Fri, 22 04 22",1322.75,1069,793,649
"Sat, 23 04 22",720.2,792,538,589
"Sun, 24 04 22",588.9,950,502,447
"Mon, 25 04 22",183.95,683,270,114
"Tue, 26 04 22",1185.6,1780,477,240
"Wed, 27 04 22",1567.15,1859,793,529
"Thu, 28 04 22",1355.25,1933,662,465
