Date,Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres)
1-Jan-22,26.6,10.1,
2-Jan-22,27.7,17.8,
3-Jan-22,30.2,23.4,0
4-Jan-22,31.8,26.4,0
5-Jan-22,30.3,23.8,0.2
6-Jan-22,30,16.8,3.8
7-Jan-22,28.8,9.8,0
8-Jan-22,27.6,6.3,9.4
9-Jan-22,30.3,20,0.6
10-Jan-22,30.4,27,0
11-Jan-22,29.8,25.5,0.2
12-Jan-22,29.7,24.5,0
13-Jan-22,29.8,27.3,0.2
14-Jan-22,29.6,26.2,0
15-Jan-22,30.7,28.4,0
16-Jan-22,31.4,29.4,4.2
17-Jan-22,32.4,27.3,0
18-Jan-22,31.5,26.4,0
19-Jan-22,32.4,24.3,0
20-Jan-22,26.7,12.8,10.8
21-Jan-22,28,22.1,19.2
22-Jan-22,27.7,20,1.6
23-Jan-22,28.3,21.6,2
24-Jan-22,29.8,23.2,0
25-Jan-22,30.5,20.8,0
26-Jan-22,26.6,6.5,2
27-Jan-22,28.4,16.3,15.2
28-Jan-22,30.1,22,3
29-Jan-22,31.2,24.2,0.4
30-Jan-22,31.6,25.1,0.2
31-Jan-22,32,24.2,0
1-Feb-22,34.7,26.1,0
2-Feb-22,35.5,14.9,0
3-Feb-22,30.7,10.2,27.2
4-Feb-22,28.4,21,20.6
5-Feb-22,27.4,19.8,0
6-Feb-22,26.9,20.4,0
7-Feb-22,29.2,26.7,0.8
8-Feb-22,28.3,25.7,0
9-Feb-22,30,27.4,0
10-Feb-22,31.2,28.6,0
11-Feb-22,31.3,27,0
12-Feb-22,28.9,19.5,0
13-Feb-22,29.3,27,7.2
14-Feb-22,27.9,17.4,0.6
15-Feb-22,27.1,14.9,5.6
16-Feb-22,28.7,24.6,0.2
17-Feb-22,29.8,24.8,0
18-Feb-22,31.9,26.9,0
19-Feb-22,31,22,19.2
20-Feb-22,27.6,18.1,10.4
21-Feb-22,30.1,23.1,0.2
22-Feb-22,30.3,18,2.2
23-Feb-22,28.7,17.4,38.6
24-Feb-22,28.1,16.6,13.4
25-Feb-22,24.2,0.8,64
26-Feb-22,23.9,1.9,225.6
27-Feb-22,23.6,,228.4
28-Feb-22,29.9,20.5,222.8
1-Mar-22,30.4,23.7,5.6
2-Mar-22,31.4,24,0.2
3-Mar-22,27.7,12.5,56
4-Mar-22,27.5,13.1,0.6
5-Mar-22,31.6,24.3,0
6-Mar-22,32.2,15.4,0
7-Mar-22,30.6,24.9,23.4
8-Mar-22,34.4,23.9,0.2
9-Mar-22,34.7,20.8,0.6
10-Mar-22,27.2,7.8,0.2
11-Mar-22,26.6,14.7,0
12-Mar-22,27.5,18,0
13-Mar-22,28.7,21.9,0
14-Mar-22,28.7,21.2,0
15-Mar-22,27.6,14.6,0
16-Mar-22,29.3,19.8,0
17-Mar-22,30.5,20.5,0
18-Mar-22,29.1,22.1,0.2
19-Mar-22,29.2,21.4,0
20-Mar-22,28.7,19.9,0
21-Mar-22,29.8,22.5,0
22-Mar-22,29.8,22.8,0
23-Mar-22,30.9,23,0
24-Mar-22,30.6,22.1,0
25-Mar-22,30.4,21.3,0
26-Mar-22,27.6,15.9,56.2
27-Mar-22,28.5,19.1,6.2
28-Mar-22,21.9,3.9,44.6
29-Mar-22,25.4,9,63.8
30-Mar-22,27.5,14.2,13.8
31-Mar-22,28.9,15.8,0
1-Apr-22,28.5,21.4,0
2-Apr-22,27.6,18.3,0
3-Apr-22,29.4,20.8,0
4-Apr-22,28.6,16.7,0
5-Apr-22,30.2,20.9,0
6-Apr-22,28.4,18.6,0
7-Apr-22,27.7,19.3,1
8-Apr-22,27.8,18.5,0
9-Apr-22,26.6,15.3,2.2
10-Apr-22,28.1,18.9,3.2
11-Apr-22,29.5,19.1,0
12-Apr-22,29.7,16.8,0
13-Apr-22,27.1,14.7,0
14-Apr-22,26.2,16.9,1.2
15-Apr-22,26.5,16.8,0.2
16-Apr-22,26.7,16.3,0
17-Apr-22,25.7,15.6,0
18-Apr-22,27,16.5,0
19-Apr-22,27.6,18.2,0
20-Apr-22,30.1,18.6,0
21-Apr-22,27.4,16.2,0
22-Apr-22,26.3,14.9,0
23-Apr-22,23.2,16.8,1
24-Apr-22,23.9,13.6,3.4
25-Apr-22,20.1,11.3,11.6
26-Apr-22,22.6,7.9,12.2
27-Apr-22,26,15.3,0.2
28-Apr-22,25.8,15.1,4.4
29-Apr-22,27.1,14.6,1
30-Apr-22,27.3,16.1,1
1-May-22,23.1,10.3,0
2-May-22,25.4,14.7,0
3-May-22,25.8,15.1,0.4
4-May-22,26.3,13,0
5-May-22,28.3,15.4,0
6-May-22,26.9,11.5,11
7-May-22,25.3,9.8,0.4
8-May-22,23,10.5,2.6
9-May-22,19.3,5.3,2
10-May-22,23.6,9,12.6
11-May-22,22.3,5.2,11.2
12-May-22,23.3,6.1,40.4
13-May-22,24.2,6.1,67.6
